section=things
level	type	x	y	width	height	pipeHeight	contents	hidden	transport	entrance	pattern	
1-1-1	Coin	57	47	0	0							
1-1-1	Coin	65	31	0	0							
1-1-1	Coin	65	47	0	0							
1-1-1	Coin	73	31	0	0							
1-1-1	Coin	73	47	0	0							
1-1-1	Coin	81	31	0	0							
1-1-1	Coin	81	47	0	0							
1-1-1	Coin	41	63	0	0							
1-1-1	Coin	49	63	0	0							
1-1-1	Coin	57	63	0	0							
1-1-1	Coin	65	63	0	0							
1-1-1	Coin	73	63	0	0							
1-1-1	PipeHorizontal	104	16	2	0				1-1-L1			
1-1-1	PipeVertical	120	88	0	11							
1-2-0	Location	0	0	0	0					1-2-L0		
1-2-0	Pattern	0	4	1	0						BackCloud	
1-2-0	Floor	0	0	24	0							
1-2-0	CastleSmall	0	0	0	0							
1-2-0	PipeHorizontal	80	16	0	0				1-2-L1			
1-2-0	Pipe	96	0	0	4	32						
1-2-1	Location	0	0	0	0					1-2-L1		
1-2-1	Floor	0	0	80	0							
1-2-1	Brick	0	8	0	11							
1-2-1	Ceiling	48	0	83	0							
1-2-1	Block	80	32	0	0		Mushroom					
1-2-1	Block	88	32	4	0							
1-2-1	Goomba	128	8	0	0							
1-2-1	Stone	136	8	0	0							
1-2-1	Goomba	136	16	0	0							
1-2-1	Stone	152	16	0	2							
1-2-1	Stone	168	24	0	3							
1-2-1	Stone	184	32	0	4							
1-2-1	Stone	200	32	0	4							
1-2-1	Stone	216	24	0	3							
1-2-1	Goomba	232	8	0	0							
1-2-1	Brick	232	40	0	0		Coin					
1-2-1	Stone	248	24	0	3							
1-2-1	Stone	264	16	0	2							
1-2-1	Brick	312	32	0	3							
1-2-1	Brick	320	32	0	0							
1-2-1	Coin	321	39	0	0							
1-2-1	Brick	328	32	0	3							
1-2-1	Coin	330	60	0	0							
1-2-1	Coin	338	60	0	0							
1-2-1	Coin	346	60	0	0							
1-2-1	Coin	354	60	0	0							
1-2-1	Brick	336	48	0	0							
1-2-1	Brick	344	48	0	0							
1-2-1	Koopa	352	12	0	0							
1-2-1	Koopa	364	12	0	0							
1-2-1	Brick	352	32	0	3							
1-2-1	Brick	360	32	0	0							
1-2-1	Coin	361	39	0	0							
1-2-1	Brick	368	32	0	2							
1-2-1	Brick	368	48	0	0		Star					
1-2-1	Brick	416	32	2	5							
1-2-1	Brick	432	16	2	3							
1-2-1	Brick	432	72	2	2							
1-2-1	Brick	464	32	4	1							
1-2-1	Brick	464	72	5	2							
1-2-1	Coin	465	39	0	0							
1-2-1	Coin	473	39	0	0							
1-2-1	Coin	481	39	0	0							
1-2-1	Coin	489	39	0	0							
1-2-1	Koopa	472	12	0	0							
1-2-1	Brick	496	32	2	7							
1-2-1	Goomba	494	8	0	0							
1-2-1	Goomba	510	8	0	0							
1-2-1	Brick	528	72	4	2							
1-2-1	Brick	536	32	0	5							
1-2-1	Brick	544	32	2	0							
1-2-1	Coin	545	39	0	0							
1-2-1	Brick	552	40	0	0		Mushroom					
1-2-1	Brick	576	32	2	0							
1-2-1	Brick	576	40	0	0							
1-2-1	Brick	576	48	2	3							
1-2-1	Brick	584	40	0	0		Coin					
1-2-1	Goomba	584	72	0	0							
1-2-1	Brick	608	32	4	0							
1-2-1	Goomba	608	40	0	0							
1-2-1	Goomba	620	40	0	0							
1-2-1	Brick	608	72	4	2							
1-2-1	Floor	664	0	34	0							
1-2-1	Brick	672	40	6	2							
1-2-1	Coin	674	64	0	0							
1-2-1	Coin	682	64	0	0							
1-2-1	Coin	690	64	0	0							
1-2-1	Coin	698	64	0	0							
1-2-1	Coin	706	64	0	0							
1-2-1	Coin	714	64	0	0							
1-2-1	Brick	712	88	0	0		Mushroom1Up					
1-2-1	Ceiling	720	0	45	0							
1-2-1	Goomba	768	8	0	0							
1-2-1	Goomba	780	8	0	0							
1-2-1	Goomba	792	8	0	0							
1-2-1	Pipe	800	0	0	3	24			1-2-L2			
1-2-1	Pipe	848	0	0	4	32						
1-2-1	Goomba	872	8	0	0							
1-2-1	Pipe	896	0	0	2	16				1-2-L3		
1-2-1	Floor	952	0	2	0							
1-2-1	Brick	952	8	2	3							
1-2-1	Floor	984	0	12	0							
1-2-1	Stone	1040	8	0	0							
1-2-1	Stone	1048	16	0	2							
1-2-1	Stone	1056	24	0	3							
1-2-1	Goomba	1056	32	0	0							
1-2-1	Stone	1064	32	0	4							
1-2-1	Goomba	1064	48	0	0							
1-2-1	Stone	1072	32	0	4							
1-2-1	PlatformGenerator	1096	0	3	0							
1-2-1	Floor	1144	0	8	0							
1-2-1	Brick	1144	40	5	1							
1-2-1	Koopa	1152	12	0	0							
1-2-1	Brick	1184	40	0	0		Mushroom					
1-2-1	PlatformGenerator	1224	0	3	0							
1-2-1	Floor	1264	0	32	0							
1-2-1	Brick	1264	8	17	3							
1-2-1	PipeHorizontal	1312	40	0	0				1-2-L4			
1-2-1	PipeVertical	1328	88	0	8							
1-2-1	ScrollEnabler	1328	120	0	6							
1-2-1	Ceiling	1272	0	7	0							
1-2-1	Brick	1344	32	7	7							
1-2-1	Ceiling	1344	0	17	0							
1-2-1	ScrollBlocker	1344	0	0	0							
1-2-1	WarpWorld	1400	0	0	0							
1-2-1	Brick	1504	8	2	11							
1-2-1	ScrollBlocker	1518	8	0	0							
1-2-2	Location	0	0	0	0					1-2-L2		
1-2-2	Floor	0	0	17	0							
1-2-2	Brick	0	8	0	11							
1-2-2	Brick	24	32	9	0							
1-2-2	Brick	24	64	10	4							
1-2-2	Coin	25	7	0	0							
1-2-2	Coin	33	7	0	0							
1-2-2	Coin	41	7	0	0							
1-2-2	Coin	49	7	0	0							
1-2-2	Coin	57	7	0	0							
1-2-2	Coin	65	7	0	0							
1-2-2	Coin	73	7	0	0							
1-2-2	Coin	81	7	0	0							
1-2-2	Coin	89	7	0	0							
1-2-2	Coin	33	39	0	0							
1-2-2	Coin	41	39	0	0							
1-2-2	Coin	49	39	0	0							
1-2-2	Coin	57	39	0	0							
1-2-2	Coin	65	39	0	0							
1-2-2	Coin	73	39	0	0							
1-2-2	Coin	81	39	0	0							
1-2-2	Coin	89	39	0	0							
1-2-2	Brick	96	32	0	0		Coin					
1-2-2	Brick	104	24	2	9							
1-2-2	PipeHorizontal	104	16	0	0				1-2-L3			
1-2-2	PipeVertical	120	100	0	12.5							
1-2-3	Location	0	0	0	0					1-2-L4		
1-2-3	Floor	0	0	58	0							
1-2-3	Pipe	0	0	0	2	16				1-2-L4		
1-2-3	Pattern	104	0	0	0						BackRegular	
1-2-3	Stone	16	8	0	0							
1-2-3	Stone	24	16	0	2							
1-2-3	Stone	32	24	0	3							
1-2-3	Stone	40	32	0	4							
1-2-3	Stone	48	40	0	5							
1-2-3	Stone	56	48	0	6							
1-2-3	Stone	64	56	0	7							
1-2-3	Stone	72	64	2	8							
1-2-3	Pattern	148	0	0	0				1-3-0		SceneryCastleOutside	
1-3-0	Location	0	0	0	0					1-3-L0		
1-3-0	Pattern	0	4	5	0						BackCloud	
1-3-0	Floor	0	0	16	0							
1-3-0	CastleSmall	0	0	0	0							
1-3-0	Tree	144	8	4	0							
1-3-0	Tree	192	32	8	0							
1-3-0	Tree	208	64	5	0							
1-3-0	Coin	217	71	0	0							
1-3-0	Coin	225	71	0	0							
1-3-0	Coin	233	71	0	0							
1-3-0	Koopa	240	76	0	0							
1-3-0	Tree	256	8	3	0							
1-3-0	Coin	266	15	0	0							
1-3-0	Tree	280	40	5	0							
1-3-0	Coin	297	87	0	0							
1-3-0	Coin	305	87	0	0							
1-3-0	Tree	320	72	7	0							
1-3-0	Goomba	352	80	0	0							
1-3-0	Goomba	368	80	0	0							
1-3-0	Tree	400	0	4	0							
1-3-0	Coin	402	55	0	0							
1-3-0	Coin	410	55	0	0							
1-3-0	Platform	440	56	3	0							
1-3-0	Tree	472	0	5	0							
1-3-0	Block	472	24	0	0		Mushroom					
1-3-0	Tree	480	64	4	0							
1-3-0	Coin	482	71	0	0							
1-3-0	Coin	490	71	0	0							
1-3-0	Coin	498	71	0	0							
1-3-0	Coin	506	71	0	0							
1-3-0	Tree	520	0	5	0							
1-3-0	Tree	560	32	3	0							
1-3-0	Koopa	592	76	0	0							
1-3-0	Tree	608	56	6	0							
1-3-0	Goomba	640	64	0	0							
1-3-0	Coin	681	63	0	0							
1-3-0	Coin	689	63	0	0							
1-3-0	Platform	688	40	3	0							
1-3-0	Coin	745	71	0	0							
1-3-0	Coin	753	71	0	0							
1-3-0	Platform	752	32	3	0							
1-3-0	Coin	777	71	0	0							
1-3-0	Coin	785	71	0	0							
1-3-0	Tree	784	16	4	0							
1-3-0	Tree	832	48	8	0							
1-3-0	Koopa	880	60	0	0							
1-3-0	Tree	904	0	3	0							
1-3-0	Coin	906	7	0	0							
1-3-0	Coin	914	7	0	0							
1-3-0	Coin	922	7	0	0							
1-3-0	Koopa	912	68	0	0							
1-3-0	Tree	928	32	4	0							
1-3-0	Coin	963	63	0	0							
1-3-0	Coin	971	63	0	0							
1-3-0	Tree	976	32	4	0							
1-3-0	Floor	1032	0	46	0							
1-3-0	Platform	1048	56	3	0							
1-3-0	Koopa	1064	12	0	0							
1-3-0	Stone	1104	32	2	4							
1-3-0	Stone	1120	48	2	6							
1-3-0	Stone	1136	64	2	8							
1-3-0	Pattern	1220	0	0	0				1-4-0		SceneryCastleOutside	
1-4-0	Location	0	0	0	0					1-4-L0		
1-4-0	StartInsideCastle	0	0	13	0							
1-4-0	Stone	0	88	24	3							
1-4-0	Water	104	8	3	0							
1-4-0	Floor	120	24	11	0							
1-4-0	Stone	184	64	0	0							
1-4-0	CastleBlock	184	56	0	0							
1-4-0	Stone	192	88	136	0							
1-4-0	Water	208	0	3	0							
1-4-0	Floor	232	24	1	0							
1-4-0	Floor	240	16	1	0							
1-4-0	CastleBlock	240	24	0	0							
1-4-0	Block	240	56	0	0		Mushroom					
1-4-0	Floor	248	24	1	0							
1-4-0	Water	256	0	3	0							
1-4-0	Floor	280	0	93	0							
1-4-0	Stone	280	32	37	0							
1-4-0	Stone	280	24	69	3							
1-4-0	Stone	296	80	35	3							
1-4-0	CastleBlock	296	56	0	0							
1-4-0	CastleBlock	392	56	0	0							
1-4-0	CastleBlock	480	56	0	0							
1-4-0	CastleBlock	536	56	0	0							
1-4-0	CastleBlock	608	32	0	0							
1-4-0	CastleBlock	640	72	0	0							
1-4-0	Stone	640	80	0	0							
1-4-0	CastleBlock	672	32	0	0							
1-4-0	CastleBlock	704	72	0	0							
1-4-0	Stone	704	80	0	0							
1-4-0	CastleBlock	736	32	0	0							
1-4-0	Stone	776	80	7	2							
1-4-0	Block	848	32	0	0			true				
1-4-0	Block	872	32	0	0			true				
1-4-0	Block	896	32	0	0			true				
1-4-0	Block	856	64	0	0			true				
1-4-0	Block	880	64	0	0			true				
1-4-0	Block	904	64	0	0			true				
1-4-0	Stone	928	24	4	3							
1-4-0	Stone	984	24	5	3							
1-4-0	Stone	984	80	5	2							
1-4-0	EndInsideCastle	1024	0	0	0							
1-4-0	Platform	1108	56	2	0							
2-1-0	Location	0	0	0	0					2-1-L0		
2-1-0	Floor	0	0	92	0							
2-1-0	CastleLarge	-16	0	0	0							
2-1-0	Pattern	0	0	2	0						BackFence	
2-1-0	Brick	120	32	0	0							
2-1-0	Brick	128	32	0	0		Mushroom					
2-1-0	Brick	136	32	0	0							
2-1-0	Stone	160	8	0	0							
2-1-0	Stone	168	16	0	2							
2-1-0	Stone	176	24	0	3							
2-1-0	Stone	184	32	0	4							
2-1-0	Stone	192	40	0	5							
2-1-0	Goomba	192	48	0	0							
2-1-0	Block	224	32	0	0			true				
2-1-0	Block	224	64	0	0		Mushroom1Up	true				
2-1-0	Brick	232	64	3	0							
2-1-0	Koopa	256	12	0	0							
2-1-0	Koopa	264	12	0	0							
2-1-0	Stone	272	32	0	4							
2-1-0	Stone	280	16	0	2							
2-1-0	Goomba	336	8	0	0							
2-1-0	Goomba	348	8	0	0							
2-1-0	Pipe	368	0	0	4	32						
2-1-0	Block	424	32	0	0		Mushroom					
2-1-0	Block	424	64	5	0							
2-1-0	Block	432	32	4	0							
2-1-0	Koopa	440	44	0	0							
2-1-0	Goomba	472	8	0	0							
2-1-0	Goomba	484	8	0	0							
2-1-0	Koopa	528	12	0	0							
2-1-0	Goomba	544	8	0	0							
2-1-0	Goomba	556	8	0	0							
2-1-0	Goomba	568	8	0	0							
2-1-0	Brick	544	32	0	0							
2-1-0	Brick	552	64	0	0		Star					
2-1-0	Brick	560	64	3	0							
2-1-0	Pipe	592	0	0	4	32						
2-1-0	Block	632	32	4	0							
2-1-0	Brick	648	64	2	0							
2-1-0	Brick	664	64	0	0							
2-1-0	Brick	672	64	2	0							
2-1-0	Block	680	32	3	0							
2-1-0	Goomba	704	8	0	0							
2-1-0	Goomba	716	8	0	0							
2-1-0	Goomba	728	8	0	0							
2-1-0	Brick	736	64	4	0							
2-1-0	Floor	768	0	10	0							
2-1-0	Pattern	768	0	0	0						BackFenceMin	
2-1-0	Goomba	820	40	0	0							
2-1-0	Pipe	824	0	0	4	32				2-1-L4		
2-1-0	Floor	872	0	30	0							
2-1-0	Goomba	916	24	0	0							
2-1-0	Pipe	920	0	0	2	16						
2-1-0	Goomba	962	8	0	0							
2-1-0	Pipe	976	0	0	4	32						
2-1-0	Brick	1000	64	0	0		Mushroom					
2-1-0	Brick	1008	64	3	0							
2-1-0	Pipe	1008	0	0	3	24						
2-1-0	Pipe	1040	0	0	5	40						
2-1-0	Floor	1136	0	10	0							
2-1-0	Pattern	1152	0	2	0						BackFence	
2-1-0	Koopa	1200	36	0	0							
2-1-0	Floor	1232	0	72	0							
2-1-0	Stone	1232	24	0	3							
2-1-0	Brick	1288	32	0	0		Coin					
2-1-0	Goomba	1296	8	0	0							
2-1-0	Goomba	1308	8	0	0							
2-1-0	Brick	1312	64	5	0							
2-1-0	Koopa	1352	12	0	0							
2-1-0	Koopa	1368	12	0	0							
2-1-0	Block	1360	32	0	0							
2-1-0	Block	1374	64	0	0		Mushroom					
2-1-0	Pipe	1408	0	0	3	24						
2-1-0	Koopa	1480	12	0	0							
2-1-0	Brick	1480	32	2	0							
2-1-0	Block	1488	64	0	0		Coin	true				
2-1-0	Springboard	1504	14.5	0	0							
2-1-0	Stone	1520	80	2	10							
2-1-0	Pattern	1596	0	0	0				2-2-0		SceneryCastleOutside	
2-1-1	Location	0	0	0	0					2-1-L3		
2-1-1	Stone	0	0	4	0							
2-1-1	Stone	40	0	57	0							
2-1-1	Coin	121	55	0	0							
2-1-1	Coin	129	55	0	0							
2-1-1	Coin	137	55	0	0							
2-1-1	Coin	145	55	0	0							
2-1-1	Coin	153	55	0	0							
2-1-1	Coin	161	55	0	0							
2-1-1	Coin	169	55	0	0							
2-1-1	Coin	177	55	0	0							
2-1-1	Coin	185	55	0	0							
2-1-1	Coin	193	55	0	0							
2-1-1	Coin	201	55	0	0							
2-1-1	Coin	209	55	0	0							
2-1-1	Coin	217	55	0	0							
2-1-1	Coin	225	55	0	0							
2-1-1	Coin	233	55	0	0							
2-1-1	Coin	241	55	0	0							
2-1-1	Platform	128	24	3	0				True			
2-1-1	Coin	257	71	0	0							
2-1-1	Coin	265	71	0	0							
2-1-1	Coin	273	71	0	0							
2-1-1	Coin	289	63	0	0							
2-1-1	Coin	297	63	0	0							
2-1-1	Coin	305	63	0	0							
2-1-1	Coin	313	63	0	0							
2-1-1	Coin	321	63	0	0							
2-1-1	Coin	329	63	0	0							
2-1-1	Coin	337	63	0	0							
2-1-1	Coin	345	63	0	0							
2-1-1	Coin	353	63	0	0							
2-1-1	Coin	361	63	0	0							
2-1-1	Coin	369	63	0	0							
2-1-1	Coin	377	63	0	0							
2-1-1	Coin	385	63	0	0							
2-1-1	Coin	393	63	0	0							
2-1-1	Coin	401	63	0	0							
2-1-1	Coin	409	63	0	0							
2-1-1	Coin	425	71	0	0							
2-1-1	Coin	433	71	0	0							
2-1-1	Coin	441	71	0	0							
2-1-1	Coin	553	7	0	0							
2-1-1	Coin	561	7	0	0							
2-1-1	Coin	569	7	0	0							
2-1-2	Location	0	0	0	0					2-1-L4		
2-1-2	Ceiling	32	0	7	0							
2-1-2	Floor	0	0	17	0							
2-1-2	Brick	0	8	0	11							
2-1-2	Brick	32	8	7	3							
2-1-2	Coin	33	31	0	0							
2-1-2	Coin	33	47	0	0							
2-1-2	Coin	41	31	0	0							
2-1-2	Coin	41	47	0	0							
2-1-2	Coin	49	31	0	0							
2-1-2	Coin	49	47	0	0							
2-1-2	Coin	57	31	0	0							
2-1-2	Coin	57	47	0	0							
2-1-2	Coin	65	31	0	0							
2-1-2	Coin	65	47	0	0							
2-1-2	Coin	73	31	0	0							
2-1-2	Coin	73	47	0	0							
2-1-2	Coin	81	31	0	0							
2-1-2	Coin	81	47	0	0							
2-1-2	Coin	41	63	0	0							
2-1-2	Coin	49	63	0	0							
2-1-2	Coin	57	63	0	0							
2-1-2	Coin	65	63	0	0							
2-1-2	Coin	73	63	0	0							
2-1-2	PipeHorizontal	104	16	0	0					2-1-L2		
2-1-2	PipeVertical	120	88	0	11							
2-2-0	Location	0	0	0	0					2-2-L0		
2-2-0	Pattern	0	4	2	0						BackCloud	
2-2-0	Floor	0	0	24	0							
2-2-0	CastleSmall	0	0	0	0							
2-2-0	PipeHorizontal	80	16	0	0				2-2-L1			
2-2-0	Pipe	96	0	0	4	32						
2-2-1	Location	0	0	0	0					2-2-L1		
2-2-1	Floor	0	0	67	0							
2-2-1	Coral	96	24	0	3							
2-2-1	Coin	121	7	0	0							
2-2-1	Coin	129	7	0	0							
2-2-1	Stone	152	32	3	0							
2-2-1	Blooper	184	16	0	0							
2-2-1	Coin	224	64	0	0							
2-2-1	Coin	232	64	0	0							
2-2-1	Coin	240	64	0	0							
2-2-1	Coral	272	40	0	5							
2-2-1	Coin	296	7	0	0							
2-2-1	Coin	304	7	0	0							
2-2-1	Coin	312	7	0	0							
2-2-1	Stone	344	32	2	0							
2-2-1	Coral	344	48	0	2							
2-2-1	Blooper	376	32	0	0							
2-2-1	Coral	408	32	0	4							
2-2-1	Blooper	448	24	0	0							
2-2-1	Stone	520	24	0	3							
2-2-1	Stone	528	40	0	5							
2-2-1	Coin	546	23	0	0							
2-2-1	Coin	554	23	0	0							
2-2-1	Coin	562	23	0	0							
2-2-1	Floor	576	0	60	0							
2-2-1	Stone	576	40	0	5							
2-2-1	Stone	584	24	0	3							
2-2-1	CheepCheep	616	24	0	0							
2-2-1	Stone	632	24	2	3							
2-2-1	Stone	632	88	2	3							
2-2-1	CheepCheep	640	48	0	0							
2-2-1	CheepCheep	656	16	0	0							
2-2-1	Stone	664	64	3	0							
2-2-1	Blooper	672	40	0	0							
2-2-1	Coral	672	80	0	2							
2-2-1	Coral	720	24	0	3							
2-2-1	Blooper	760	80	0	0							
2-2-1	CheepCheep	760	56	0	0							
2-2-1	CheepCheep	784	80	0	0							
2-2-1	Coin	816	15	0	0							
2-2-1	Coin	824	15	0	0							
2-2-1	Coin	832	15	0	0							
2-2-1	Stone	824	32	2	0							
2-2-1	Coral	824	64	0	4							
2-2-1	Blooper	848	16	0	0							
2-2-1	Coin	912	55	0	0							
2-2-1	Coin	920	55	0	0							
2-2-1	Coin	928	55	0	0							
2-2-1	Stone	928	40	2	0							
2-2-1	CheepCheep	944	72	0	0							
2-2-1	Coral	968	32	0	4							
2-2-1	CheepCheep	1032	24	0	0							
2-2-1	Stone	1040	32	0	4							
2-2-1	Stone	1048	16	0	2							
2-2-1	CheepCheep	1056	16	0	0							
2-2-1	Stone	1056	88	0	3							
2-2-1	Stone	1064	72	8	0							
2-2-1	Coin	1073	15	0	0							
2-2-1	Coin	1080	7	0	0							
2-2-1	Coin	1088	7	0	0							
2-2-1	Coin	1096	7	0	0							
2-2-1	Coin	1105	15	0	0							
2-2-1	CheepCheep	1100	40	0	0							
2-2-1	Floor	1128	0	17	0							
2-2-1	Stone	1128	16	0	2							
2-2-1	Stone	1136	32	0	4							
2-2-1	CheepCheep	1160	32	0	0							
2-2-1	Coral	1184	16	0	2							
2-2-1	Coral	1200	24	0	3							
2-2-1	CheepCheep	1206	56	0	0							
2-2-1	Stone	1256	64	0	8							
2-2-1	Stone	1264	64	2	0							
2-2-1	Coin	1281	7	0	0							
2-2-1	Coin	1281	31	0	0							
2-2-1	Coin	1281	7	0	0							
2-2-1	Coin	1281	31	0	0							
2-2-1	Coin	1281	7	0	0							
2-2-1	Coin	1281	31	0	0							
2-2-1	Stone	1304	64	2	0							
2-2-1	Stone	1320	64	0	8							
2-2-1	Floor	1320	0	40	0							
2-2-1	CheepCheep	1320	80	0	0							
2-2-1	CheepCheep	1344	16	0	0							
2-2-1	Stone	1384	32	5	0							
2-2-1	Stone	1384	64	5	0							
2-2-1	Coral	1392	80	0	2							
2-2-1	CheepCheep	1408	40	0	0							
2-2-1	Stone	1448	32	4	0							
2-2-1	Stone	1448	64	4	0							
2-2-1	CheepCheep	1472	72	0	0							
2-2-1	CheepCheep	1496	48	0	0							
2-2-1	Stone	1488	8	5	0							
2-2-1	Stone	1496	16	4	0							
2-2-1	Stone	1504	24	3	0							
2-2-1	Stone	1512	32	2	0							
2-2-1	Stone	1512	88	2	4							
2-2-1	PipeHorizontal	1520	48	0	0				2-2-L2			
2-2-1	Stone	1528	88	14	11							
2-2-2	Location	0	0	0	0					2-2-L4		
2-2-2	Floor	0	0	58	0							
2-2-2	Pipe	0	0	0	2	16			2-2-L4			
2-2-2	Pattern	104	0	0	0						BackRegular	
2-2-2	Stone	16	8	0	0							
2-2-2	Stone	24	16	0	2							
2-2-2	Stone	32	24	0	3							
2-2-2	Stone	40	32	0	4							
2-2-2	Stone	48	40	0	5							
2-2-2	Stone	56	48	0	6							
2-2-2	Stone	64	56	0	7							
2-2-2	Stone	72	64	0	8							
2-2-2	Pattern	148	0	0	0				2-3-0		SceneryCastleOutside	
2-3-0	Location	0	0	0	0					2-3-L0		
2-3-0	Floor	0	0	7	0							
2-3-0	CastleSmall	0	0	0	0							
2-3-0	Pattern	0	4	5	0						BackCloud	
